date,state,price
2022-01-01,Johor,8.532922107251375
2022-02-01,Johor,8.603932317993504
2022-03-01,Johor,8.604035686743144
2022-04-01,Johor,8.667358839747706
2022-05-01,Johor,8.684543239001071
2022-06-01,Johor,8.773590025547858
2022-07-01,Johor,8.90108681827432
2022-08-01,Johor,9.08242887128304
2022-09-01,Johor,9.185627737136544
2022-10-01,Johor,9.17200480828664
2022-11-01,Johor,9.288433787622482
2022-12-01,Johor,9.481051133016223
2023-01-01,Johor,9.718177523338433
2023-02-01,Johor,9.812653013534511
2023-03-01,Johor,9.848986533766265
2023-04-01,Johor,9.865810302933689
2023-05-01,Johor,9.814166275844942
2023-06-01,Johor,9.912142263434959
2023-07-01,Johor,9.92757007092159
2023-08-01,Johor,10.100918838158824
2023-09-01,Johor,9.978783945514843
2023-10-01,Johor,10.180440412449443
2023-11-01,Johor,10.201466764737932
2022-01-01,Kedah,8.041436974789915
2022-02-01,Kedah,8.071200415105801
2022-03-01,Kedah,8.113605154785981
2022-04-01,Kedah,8.194324665062
2022-05-01,Kedah,8.270045046588107
2022-06-01,Kedah,8.398145518333566
2022-07-01,Kedah,8.53869498394058
2022-08-01,Kedah,8.689579724200321
2022-09-01,Kedah,8.75451912326453
2022-10-01,Kedah,8.787590975604674
2022-11-01,Kedah,8.819321976085675
2022-12-01,Kedah,8.92361807229765
2023-01-01,Kedah,9.077988067292646
2023-02-01,Kedah,9.244384423326098
2023-03-01,Kedah,9.355809234821331
2023-04-01,Kedah,9.427882046269142
2023-05-01,Kedah,9.473969835339696
2023-06-01,Kedah,9.501399612563995
2023-07-01,Kedah,9.510913242009131
2023-08-01,Kedah,9.496849315068493
2023-09-01,Kedah,9.49123287671233
2023-10-01,Kedah,9.500901065449012
2023-11-01,Kedah,9.515400016454812
2022-01-01,Kelantan,8.152771794871795
2022-02-01,Kelantan,8.176385897435896
2022-03-01,Kelantan,8.217262729438138
2022-04-01,Kelantan,8.284902483451065
2022-05-01,Kelantan,8.372312951770624
2022-06-01,Kelantan,8.48430748728975
2022-07-01,Kelantan,8.621030686898793
2022-08-01,Kelantan,8.736516393442622
2022-09-01,Kelantan,8.817445596982447
2022-10-01,Kelantan,8.870034817931234
2022-11-01,Kelantan,8.955096601025803
2022-12-01,Kelantan,9.097500730819315
2023-01-01,Kelantan,9.26479610451573
2023-02-01,Kelantan,9.449282591002216
2023-03-01,Kelantan,9.577287421920092
2023-04-01,Kelantan,9.663939841400055
2023-05-01,Kelantan,9.70744555271885
2023-06-01,Kelantan,9.805953326842992
2023-07-01,Kelantan,9.844158163104106
2023-08-01,Kelantan,9.867275803951037
2023-09-01,Kelantan,9.786475449621271
2023-10-01,Kelantan,9.795762953305326
2023-11-01,Kelantan,9.801213063031243
2022-01-01,Melaka,8.323009153318079
2022-02-01,Melaka,8.32293314808761
2022-03-01,Melaka,8.348773613876588
2022-04-01,Melaka,8.41095238095238
2022-05-01,Melaka,8.469420289855073
2022-06-01,Melaka,8.541768774703558
2022-07-01,Melaka,8.637572463768116
2022-08-01,Melaka,8.750727931488802
2022-09-01,Melaka,8.780333194646696
2022-10-01,Melaka,8.825181020733652
2022-11-01,Melaka,8.91245374800638
2022-12-01,Melaka,9.145045454545455
2023-01-01,Melaka,9.369047266139658
2023-02-01,Melaka,9.578289690382082
2023-03-01,Melaka,9.693592720685112
2023-04-01,Melaka,9.756060606060606
2023-05-01,Melaka,9.780303030303031
2023-06-01,Melaka,9.776969696969699
2023-07-01,Melaka,9.746666666666668
2023-08-01,Melaka,9.722666666666667
2023-09-01,Melaka,9.718916666666667
2023-10-01,Melaka,9.741492424242423
2023-11-01,Melaka,9.74965909090909
2022-01-01,Negeri Sembilan,8.360423116615067
2022-02-01,Negeri Sembilan,8.340906002751979
2022-03-01,Negeri Sembilan,8.34354517830524
2022-04-01,Negeri Sembilan,8.366933551198256
2022-05-01,Negeri Sembilan,8.414565826330533
2022-06-01,Negeri Sembilan,8.54866168689698
2022-07-01,Negeri Sembilan,8.697798941798942
2022-08-01,Negeri Sembilan,8.876266203703702
2022-09-01,Negeri Sembilan,8.945175112612613
2022-10-01,Negeri Sembilan,8.988258445945945
2022-11-01,Negeri Sembilan,9.08077002002002
2022-12-01,Negeri Sembilan,9.274175925925926
2023-01-01,Negeri Sembilan,9.457249455337694
2023-02-01,Negeri Sembilan,9.566018518518518
2023-03-01,Negeri Sembilan,9.581960784313727
2023-04-01,Negeri Sembilan,9.617952069716774
2023-05-01,Negeri Sembilan,9.644706633611298
2023-06-01,Negeri Sembilan,9.655271101822825
2023-07-01,Negeri Sembilan,9.653122953674677
2023-08-01,Negeri Sembilan,9.639131313131314
2023-09-01,Negeri Sembilan,9.652034632034633
2023-10-01,Negeri Sembilan,9.645479076479077
2023-11-01,Negeri Sembilan,9.658492063492064
2022-01-01,Pahang,8.313581560283687
2022-02-01,Pahang,8.296885119764486
2022-03-01,Pahang,8.308590079842991
2022-04-01,Pahang,8.355835942727152
2022-05-01,Pahang,8.422578605200945
2022-06-01,Pahang,8.418839021867612
2022-07-01,Pahang,8.568658012023219
2022-08-01,Pahang,8.72783730495251
2022-09-01,Pahang,8.947166260266519
2022-10-01,Pahang,8.965525200857682
2022-11-01,Pahang,9.040247423079903
2022-12-01,Pahang,9.187324717765895
2023-01-01,Pahang,9.409502371384093
2023-02-01,Pahang,9.53003823853013
2023-03-01,Pahang,9.599886723378615
2023-04-01,Pahang,9.586048687658858
2023-05-01,Pahang,9.534320901320902
2023-06-01,Pahang,9.534042308945535
2023-07-01,Pahang,9.583910914635036
